GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GAME_DATE,OFF_RATING,DEF_RATING,NET_RATING,OPP_TEAM_ID,OPP_TEAM_NAME,OPP_TEAM_ABBREVIATION,OPP_TEAM_CITY,OPP_OFF_RATING,OPP_DEF_RATING,OPP_NET_RATING,PTS_DIFF
0021600061,1610612741,Bulls,CHI,Chicago,240:00,0.475,0.383,0.193,0.341,0.552,0.195,0.124,0.227,2016-11-02,101.4,110.9,-9.5,1610612738,Celtics,BOS,Boston,110.9,101.4,9.5,-7.0
0021600062,1610612762,Jazz,UTA,Utah,240:00,0.532,0.338,0.128,0.189,0.474,0.13,0.147,0.15,2016-11-02,103.8,91.6,12.2,1610612742,Mavericks,DAL,Dallas,91.6,103.8,-12.2,16.0
0021600063,1610612757,Trail Blazers,POR,Portland,265:00,0.475,0.208,0.13,0.182,0.451,0.291,0.105,0.246,2016-11-02,99.8,103.3,-3.5,1610612756,Suns,PHX,Phoenix,103.3,99.8,3.5,-3.0
0021600064,1610612760,Thunder,OKC,Oklahoma City,240:00,0.435,0.238,0.21,0.233,0.431,0.207,0.179,0.16,2016-11-02,81.1,78.4,2.7,1610612746,Clippers,LAC,LA,78.4,81.1,-2.7,2.0
0021600065,1610612758,Kings,SAC,Sacramento,240:00,0.519,0.213,0.155,0.262,0.512,0.274,0.147,0.317,2016-11-03,103.9,107.2,-3.3,1610612753,Magic,ORL,Orlando,107.2,103.9,3.3,-8.0
0021600066,1610612749,Bucks,MIL,Milwaukee,240:00,0.646,0.293,0.207,0.353,0.531,0.333,0.202,0.256,2016-11-03,123.1,103.0,20.1,1610612754,Pacers,IND,Indiana,103.0,123.1,-20.1,18.0
0021600067,1610612750,Timberwolves,MIN,Minnesota,240:00,0.449,0.284,0.158,0.275,0.519,0.309,0.206,0.194,2016-11-03,98.0,95.3,2.7,1610612743,Nuggets,DEN,Denver,95.3,98.0,-2.7,-3.0
0021600068,1610612739,Cavaliers,CLE,Cleveland,240:00,0.571,0.44,0.079,0.194,0.536,0.229,0.077,0.222,2016-11-03,126.4,117.7,8.7,1610612738,Celtics,BOS,Boston,117.7,126.4,-8.7,6.0
0021600069,1610612760,Thunder,OKC,Oklahoma City,240:00,0.46,0.322,0.156,0.295,0.596,0.225,0.162,0.349,2016-11-03,93.8,123.5,-29.7,1610612744,Warriors,GSW,Golden State,123.5,93.8,29.7,-26.0
0021600070,1610612764,Wizards,WAS,Washington,240:00,0.419,0.438,0.184,0.229,0.416,0.434,0.168,0.222,2016-11-04,91.9,86.1,5.8,1610612737,Hawks,ATL,Atlanta,86.1,91.9,-5.8,3.0
